sentence,nsubj,root,split
Eşeklerin sırtlarına yüklenmiş sepetlerle taşınırdı üzümler .,['üzümler'],['taşınırdı'],dev
""" Ufak at da civcivler yesin "" derken , "" Kendine gel de ilişkimiz devam etsin "" demek istiyorum .",['ilişkimiz'],['istiyorum'],dev
"Saddam Hüseyin , 42 yaşında iken bir darbeyle iktidara el koydu .",['Saddam'],['el'],dev
Genel yapısı içerisinde ihracat teşviki yok denecek bir seviyede bulunmaktadır .,['teşviki'],['bulunmaktadır'],dev
Tepelere sisler indi ...,['sisler'],['indi'],dev
"O halde , "" kaybeden sanatçı "" açısından geçmişi yeniden günışığına sürmek , hiç de önemsiz değil .",['sürmek'],['önemsiz'],dev
"İşte bu epizodda , Vâmık Bey'in köşküne giden yolda , anlatıcı , "" insan sefaletlerinin bir sergisini görür .",['anlatıcı'],['görür'],dev
Ancak bu bir teferruat gayet tabii ki .,['bu'],['teferruat'],dev
Yalnızca TPAO ve BOTAŞ tarafından 2 adet proje yürütülüyor .,['proje'],['yürütülüyor'],dev
"Kesinlikle ve kesinlikle kan davası diye bir şey olmayacaktır olmayacak tır "" dedi .",['şey'],['dedi'],dev
""" Ben değişim hedefiyle yola çıktım .",['Ben'],['yola'],dev
"CHP'li muhaliflerin itirazını haklı bulan YSK , Ümraniye kongresini iptal etti",['YSK'],['iptal'],dev
Bazı dinleyiciler neşelendi,['dinleyiciler'],['neşelendi'],dev
"Matematik , fizik , kimya yanı başımda , bir sürü ahali , bilim konuşuyorum .",['Matematik'],['yanı'],dev
"Kızkardeşi Nilüfer Koçyiğit , Erksan'ın Cifte Kumrular adlı filminde "" çocuk oyuncu "" olarak başrollerden birini paylaşmaktadır .",['Kızkardeşi'],['paylaşmaktadır'],dev
Üstü başı çamur oldu .,['Üstü'],['oldu'],dev
Faili meçhul cinayet kurbanları için yıllardır karanlığa kurşun sıkılıyor .,['kurşun'],['sıkılıyor'],dev
"Gelişmekte olan ülkelerin emisyon artışına neden olduğunu açıklayan taslakta , ulaşımın önemli bir sorun olduğuna ve araba ve uçakların emisyonları artırdığına dikkat çekiliyor .","['ülkelerin', 'ulaşımın', 'araba']",['dikkat'],dev
"Ama Ada vapuruna , üç , dört saat vardı vardı dı .",['saat'],['vardı'],dev
"Tam arkanda , dedi kadın .",['kadın'],['dedi'],dev
