item,sentence,case,number,attention_to_attractor,attention_to_head,attractor_tokens,head_tokens,verb_tokens,attention_diff
1,Göçmenin sözcüleri geçen hafta protestoda aralıksız bağırdılar.,gen,targetMatch,0.064715847,0.07397218,"['Göçmen', '##in']","['sözcü', '##leri']","['bağır', '##dılar']",-0.009256333
1,Göçmenlerin sözcüsü geçen hafta protestoda aralıksız bağırdılar.,gen,attractorMatch,0.081325531,0.11957553,"['Göçmen', '##lerin']",['sözcüsü'],"['bağır', '##dılar']",-0.038249999
1,Göçmenin sözcüsü geçen hafta protestoda aralıksız bağırdılar.,gen,noMatch,0.092677981,0.102471374,"['Göçmen', '##in']",['sözcüsü'],"['bağır', '##dılar']",-0.009793393
1,Göçmen sözcüleri geçen hafta protestoda aralıksız bağırdılar.,nom,targetMatch,0.041465998,0.106946185,['Göçmen'],"['sözcü', '##leri']","['bağır', '##dılar']",-0.065480188
1,Göçmenler sözcüsü geçen hafta protestoda aralıksız bağırdılar.,nom,attractorMatch,0.077920757,0.168693453,"['Göçmen', '##ler']",['sözcüsü'],"['bağır', '##dılar']",-0.090772696
1,Göçmen sözcüsü geçen hafta protestoda aralıksız bağırdılar.,nom,noMatch,0.05904517,0.140323386,['Göçmen'],['sözcüsü'],"['bağır', '##dılar']",-0.081278216
2,Stajyerin temsilcileri bugünkü toplantıda edepsiz edepsiz konuştular.,gen,targetMatch,0.116828971,0.092173845,"['Staj', '##yeri', '##n']",['temsilcileri'],"['konuştu', '##lar']",0.024655126
2,Stajyerlerin temsilcisi bugünkü toplantıda edepsiz edepsiz konuştular.,gen,attractorMatch,0.091696218,0.091588631,"['Staj', '##yer', '##lerin']",['temsilcisi'],"['konuştu', '##lar']",0.000107586
2,Stajyerin temsilcisi bugünkü toplantıda edepsiz edepsiz konuştular.,gen,noMatch,0.109318778,0.090521947,"['Staj', '##yeri', '##n']",['temsilcisi'],"['konuştu', '##lar']",0.018796831
2,Stajyer temsilcileri bugünkü toplantıda edepsiz edepsiz konuştular.,nom,targetMatch,0.063581854,0.06704969,"['Staj', '##yer']",['temsilcileri'],"['konuştu', '##lar']",-0.003467835
2,Stajyerler temsilcisi bugünkü toplantıda edepsiz edepsiz konuştular.,nom,attractorMatch,0.090661451,0.09767551,"['Staj', '##yer', '##ler']",['temsilcisi'],"['konuştu', '##lar']",-0.007014059
2,Stajyer temsilcisi bugünkü toplantıda edepsiz edepsiz konuştular.,nom,noMatch,0.067518651,0.075033411,"['Staj', '##yer']",['temsilcisi'],"['konuştu', '##lar']",-0.00751476
3,Esnafın yöneticileri seçimden sonra senatoda sertçe tartıştılar.,gen,targetMatch,0.111194782,0.032530792,"['Esnaf', '##ın']",['yöneticileri'],"['tartış', '##tılar']",0.07866399
3,Esnafların yöneticisi seçimden sonra senatoda sertçe tartıştılar.,gen,attractorMatch,0.07510265,0.039768964,"['Esnaf', '##ların']",['yöneticisi'],"['tartış', '##tılar']",0.035333686
3,Esnafın yöneticisi seçimden sonra senatoda sertçe tartıştılar.,gen,noMatch,0.104903564,0.046833809,"['Esnaf', '##ın']",['yöneticisi'],"['tartış', '##tılar']",0.058069754
3,Esnaf yöneticileri seçimden sonra senatoda sertçe tartıştılar.,nom,targetMatch,0.071043223,0.0377598,['Esnaf'],['yöneticileri'],"['tartış', '##tılar']",0.033283424
3,Esnaflar yöneticisi seçimden sonra senatoda sertçe tartıştılar.,nom,attractorMatch,0.087764069,0.05970037,"['Esnaf', '##lar']",['yöneticisi'],"['tartış', '##tılar']",0.0280637
3,Esnaf yöneticisi seçimden sonra senatoda sertçe tartıştılar.,nom,noMatch,0.067245655,0.073153742,['Esnaf'],['yöneticisi'],"['tartış', '##tılar']",-0.005908087
4,Mültecinin avukatları duruşma için uzun süre hazırlandılar.,gen,targetMatch,0.13598609,0.064688757,"['Mült', '##eci', '##nin']",['avukatları'],"['hazırlandı', '##lar']",0.071297333
4,Mültecilerin avukatı duruşma için uzun süre hazırlandılar.,gen,attractorMatch,0.12243484,0.06260173,"['Mült', '##ecilerin']",['avukatı'],"['hazırlandı', '##lar']",0.059833109
4,Mültecinin avukatı duruşma için uzun süre hazırlandılar.,gen,noMatch,0.141811043,0.057489548,"['Mült', '##eci', '##nin']",['avukatı'],"['hazırlandı', '##lar']",0.084321495
4,Mülteci avukatları duruşma için uzun süre hazırlandılar.,nom,targetMatch,0.070013426,0.106729873,"['Mült', '##eci']",['avukatları'],"['hazırlandı', '##lar']",-0.036716446
4,Mülteciler avukatı duruşma için uzun süre hazırlandılar.,nom,attractorMatch,0.128696993,0.092248961,"['Mült', '##eciler']",['avukatı'],"['hazırlandı', '##lar']",0.036448032
4,Mülteci avukatı duruşma için uzun süre hazırlandılar.,nom,noMatch,0.072042845,0.105672568,"['Mült', '##eci']",['avukatı'],"['hazırlandı', '##lar']",-0.033629723
5,Padişahın tarihçileri yolculuk için yavaşça trene bindiler.,gen,targetMatch,0.087493293,0.21663931,"['Padişah', '##ın']","['tarih', '##çileri']","['bin', '##diler']",-0.129146017
5,Padişahların tarihçisi yolculuk için yavaşça trene bindiler.,gen,attractorMatch,0.090587467,0.139490873,"['Padişah', '##ların']","['tarih', '##çisi']","['bin', '##diler']",-0.048903406
5,Padişahın tarihçisi yolculuk için yavaşça trene bindiler.,gen,noMatch,0.07791131,0.151505142,"['Padişah', '##ın']","['tarih', '##çisi']","['bin', '##diler']",-0.073593833
5,Padişah tarihçileri yolculuk için yavaşça trene bindiler.,nom,targetMatch,0.067904577,0.241158202,['Padişah'],"['tarih', '##çileri']","['bin', '##diler']",-0.173253626
5,Padişahlar tarihçisi yolculuk için yavaşça trene bindiler.,nom,attractorMatch,0.166200846,0.129733309,"['Padişah', '##lar']","['tarih', '##çisi']","['bin', '##diler']",0.036467537
5,Padişah tarihçisi yolculuk için yavaşça trene bindiler.,nom,noMatch,0.047009408,0.16410467,['Padişah'],"['tarih', '##çisi']","['bin', '##diler']",-0.117095262
6,Marangozun ustaları çoktan  yeni semtteki atölyeye ulaşmışlar.,gen,targetMatch,0.056364823,0.073251717,"['Mar', '##ang', '##ozu', '##n']","['usta', '##ları']","['ulaşmış', '##lar']",-0.016886894
6,Marangozların ustası çoktan  yeni semtteki atölyeye ulaşmışlar.,gen,attractorMatch,0.061713383,0.049766269,"['Mar', '##ang', '##oz', '##ların']",['ustası'],"['ulaşmış', '##lar']",0.011947114
6,Marangozun ustası çoktan  yeni semtteki atölyeye ulaşmışlar.,gen,noMatch,0.044697251,0.04828281,"['Mar', '##ang', '##ozu', '##n']",['ustası'],"['ulaşmış', '##lar']",-0.003585558
6,Marangoz ustaları çoktan  yeni semtteki atölyeye ulaşmışlar.,nom,targetMatch,0.027666453,0.090848878,"['Mar', '##ang', '##oz']","['usta', '##ları']","['ulaşmış', '##lar']",-0.063182425
6,Marangozlar ustası çoktan  yeni semtteki atölyeye ulaşmışlar.,nom,attractorMatch,0.046390783,0.064379431,"['Mar', '##ang', '##oz', '##lar']",['ustası'],"['ulaşmış', '##lar']",-0.017988648
6,Marangoz ustası çoktan  yeni semtteki atölyeye ulaşmışlar.,nom,noMatch,0.022463627,0.062020753,"['Mar', '##ang', '##oz']",['ustası'],"['ulaşmış', '##lar']",-0.039557125
7,Bakanın sekreterleri utanç içinde koridordaki kapıya yöneldiler.,gen,targetMatch,0.085660085,0.028830633,"['Bakanı', '##n']","['sekreter', '##leri']","['yönel', '##diler']",0.056829453
7,Bakanların sekreteri utanç içinde koridordaki kapıya yöneldiler.,gen,attractorMatch,0.05378218,0.018448295,"['Bakanlar', '##ın']","['sekreter', '##i']","['yönel', '##diler']",0.035333885
7,Bakanın sekreteri utanç içinde koridordaki kapıya yöneldiler.,gen,noMatch,0.082397148,0.017829217,"['Bakanı', '##n']","['sekreter', '##i']","['yönel', '##diler']",0.064567931
