item,sentence,case,number,attention_to_attractor,attention_to_head,attractor_tokens,head_tokens,verb_tokens,attention_diff
1,Göçmenin sözcüleri geçen hafta protestoda aralıksız bağırdılar.,gen,targetMatch,1.050090432,0.037332952,"['GÃ¶Ã§', 'menin']","['ĠsÃ¶zcÃ¼', 'leri']","['ĠbaÄŁÄ±r', 'dÄ±lar']",1.01275748
1,Göçmenlerin sözcüsü geçen hafta protestoda aralıksız bağırdılar.,gen,attractorMatch,1.040774226,0.039690346,"['GÃ¶Ã§', 'men', 'lerin']",['ĠsÃ¶zcÃ¼sÃ¼'],"['ĠbaÄŁÄ±r', 'dÄ±lar']",1.001083881
1,Göçmenin sözcüsü geçen hafta protestoda aralıksız bağırdılar.,gen,noMatch,1.094631314,0.021906005,"['GÃ¶Ã§', 'menin']",['ĠsÃ¶zcÃ¼sÃ¼'],"['ĠbaÄŁÄ±r', 'dÄ±lar']",1.072725309
1,Göçmen sözcüleri geçen hafta protestoda aralıksız bağırdılar.,nom,targetMatch,1.006234407,0.040069677,"['GÃ¶Ã§', 'men']","['ĠsÃ¶zcÃ¼', 'leri']","['ĠbaÄŁÄ±r', 'dÄ±lar']",0.96616473
1,Göçmenler sözcüsü geçen hafta protestoda aralıksız bağırdılar.,nom,attractorMatch,1.037678957,0.027002789,"['GÃ¶Ã§', 'menler']",['ĠsÃ¶zcÃ¼sÃ¼'],"['ĠbaÄŁÄ±r', 'dÄ±lar']",1.010676168
1,Göçmen sözcüsü geçen hafta protestoda aralıksız bağırdılar.,nom,noMatch,1.041208386,0.022470213,"['GÃ¶Ã§', 'men']",['ĠsÃ¶zcÃ¼sÃ¼'],"['ĠbaÄŁÄ±r', 'dÄ±lar']",1.018738173
2,Stajyerin temsilcileri bugünkü toplantıda edepsiz edepsiz konuştular.,gen,targetMatch,1.3900069,0.0199141,"['S', 'taj', 'yer', 'in']",['Ġtemsilcileri'],"['ĠkonuÅŁtu', 'lar']",1.3700928
2,Stajyerlerin temsilcisi bugünkü toplantıda edepsiz edepsiz konuştular.,gen,attractorMatch,1.388075352,0.030140337,"['S', 'taj', 'yer', 'lerin']",['Ġtemsilcisi'],"['ĠkonuÅŁtu', 'lar']",1.357935015
2,Stajyerin temsilcisi bugünkü toplantıda edepsiz edepsiz konuştular.,gen,noMatch,1.371679544,0.025766604,"['S', 'taj', 'yer', 'in']",['Ġtemsilcisi'],"['ĠkonuÅŁtu', 'lar']",1.345912941
2,Stajyer temsilcileri bugünkü toplantıda edepsiz edepsiz konuştular.,nom,targetMatch,1.397741795,0.018210173,"['S', 'taj', 'yer']",['Ġtemsilcileri'],"['ĠkonuÅŁtu', 'lar']",1.379531622
2,Stajyerler temsilcisi bugünkü toplantıda edepsiz edepsiz konuştular.,nom,attractorMatch,1.377705336,0.025986996,"['S', 'taj', 'y', 'erler']",['Ġtemsilcisi'],"['ĠkonuÅŁtu', 'lar']",1.35171834
2,Stajyer temsilcisi bugünkü toplantıda edepsiz edepsiz konuştular.,nom,noMatch,1.377308607,0.01634674,"['S', 'taj', 'yer']",['Ġtemsilcisi'],"['ĠkonuÅŁtu', 'lar']",1.360961867
3,Esnafın yöneticileri seçimden sonra senatoda sertçe tartıştılar.,gen,targetMatch,1.053536892,0.018366005,"['Esnaf', 'Ä±n']",['ĠyÃ¶neticileri'],"['ĠtartÄ±ÅŁ', 'tÄ±lar']",1.035170887
3,Esnafların yöneticisi seçimden sonra senatoda sertçe tartıştılar.,gen,attractorMatch,1.078066945,0.023106461,"['Esnaf', 'larÄ±n']",['ĠyÃ¶neticisi'],"['ĠtartÄ±ÅŁ', 'tÄ±lar']",1.054960484
3,Esnafın yöneticisi seçimden sonra senatoda sertçe tartıştılar.,gen,noMatch,1.053275824,0.026353968,"['Esnaf', 'Ä±n']",['ĠyÃ¶neticisi'],"['ĠtartÄ±ÅŁ', 'tÄ±lar']",1.026921855
3,Esnaf yöneticileri seçimden sonra senatoda sertçe tartıştılar.,nom,targetMatch,1.037184238,0.009928112,['Esnaf'],['ĠyÃ¶neticileri'],"['ĠtartÄ±ÅŁ', 'tÄ±lar']",1.027256127
3,Esnaflar yöneticisi seçimden sonra senatoda sertçe tartıştılar.,nom,attractorMatch,1.072709441,0.017404947,"['Esnaf', 'lar']",['ĠyÃ¶neticisi'],"['ĠtartÄ±ÅŁ', 'tÄ±lar']",1.055304494
3,Esnaf yöneticisi seçimden sonra senatoda sertçe tartıştılar.,nom,noMatch,1.039722204,0.00919228,['Esnaf'],['ĠyÃ¶neticisi'],"['ĠtartÄ±ÅŁ', 'tÄ±lar']",1.030529924
4,Mültecinin avukatları duruşma için uzun süre hazırlandılar.,gen,targetMatch,1.500347853,0.017979426,"['M', 'Ã¼lt', 'ecinin']",['ĠavukatlarÄ±'],"['ĠhazÄ±rlandÄ±', 'lar']",1.482368426
4,Mültecilerin avukatı duruşma için uzun süre hazırlandılar.,gen,attractorMatch,1.482324839,0.022005506,"['M', 'Ã¼lt', 'ecilerin']",['ĠavukatÄ±'],"['ĠhazÄ±rlandÄ±', 'lar']",1.460319333
4,Mültecinin avukatı duruşma için uzun süre hazırlandılar.,gen,noMatch,1.496475697,0.018730806,"['M', 'Ã¼lt', 'ecinin']",['ĠavukatÄ±'],"['ĠhazÄ±rlandÄ±', 'lar']",1.47774489
4,Mülteci avukatları duruşma için uzun süre hazırlandılar.,nom,targetMatch,1.510358095,0.013240542,"['M', 'Ã¼lt', 'eci']",['ĠavukatlarÄ±'],"['ĠhazÄ±rlandÄ±', 'lar']",1.497117553
4,Mülteciler avukatı duruşma için uzun süre hazırlandılar.,nom,attractorMatch,1.518789291,0.018673174,"['M', 'Ã¼lt', 'eciler']",['ĠavukatÄ±'],"['ĠhazÄ±rlandÄ±', 'lar']",1.500116117
4,Mülteci avukatı duruşma için uzun süre hazırlandılar.,nom,noMatch,1.520594835,0.012046878,"['M', 'Ã¼lt', 'eci']",['ĠavukatÄ±'],"['ĠhazÄ±rlandÄ±', 'lar']",1.508547957
5,Padişahın tarihçileri yolculuk için yavaşça trene bindiler.,gen,targetMatch,1.126470804,0.038521517,"['P', 'adiÅŁah', 'Ä±n']","['Ġtarih', 'Ã§ileri']","['Ġbin', 'diler']",1.087949287
5,Padişahların tarihçisi yolculuk için yavaşça trene bindiler.,gen,attractorMatch,1.103434682,0.06301596,"['P', 'adiÅŁah', 'larÄ±n']","['Ġtarih', 'Ã§isi']","['Ġbin', 'diler']",1.040418722
5,Padişahın tarihçisi yolculuk için yavaşça trene bindiler.,gen,noMatch,1.079555511,0.059424028,"['P', 'adiÅŁah', 'Ä±n']","['Ġtarih', 'Ã§isi']","['Ġbin', 'diler']",1.020131484
5,Padişah tarihçileri yolculuk için yavaşça trene bindiler.,nom,targetMatch,1.118109941,0.045313593,"['P', 'adiÅŁah']","['Ġtarih', 'Ã§ileri']","['Ġbin', 'diler']",1.072796348
5,Padişahlar tarihçisi yolculuk için yavaşça trene bindiler.,nom,attractorMatch,1.110484958,0.065587834,"['P', 'adiÅŁah', 'lar']","['Ġtarih', 'Ã§isi']","['Ġbin', 'diler']",1.044897124
5,Padişah tarihçisi yolculuk için yavaşça trene bindiler.,nom,noMatch,1.073114753,0.057229038,"['P', 'adiÅŁah']","['Ġtarih', 'Ã§isi']","['Ġbin', 'diler']",1.015885714
6,Marangozun ustaları çoktan  yeni semtteki atölyeye ulaşmışlar.,gen,targetMatch,1.22070241,0.027794892,"['Mar', 'angoz', 'un']",['ĠustalarÄ±'],"['ĠulaÅŁ', 'mÄ±ÅŁlar']",1.192907518
6,Marangozların ustası çoktan  yeni semtteki atölyeye ulaşmışlar.,gen,attractorMatch,1.268912077,0.02984558,"['Mar', 'angoz', 'larÄ±n']",['ĠustasÄ±'],"['ĠulaÅŁ', 'mÄ±ÅŁlar']",1.239066496
6,Marangozun ustası çoktan  yeni semtteki atölyeye ulaşmışlar.,gen,noMatch,1.266562462,0.028131787,"['Mar', 'angoz', 'un']",['ĠustasÄ±'],"['ĠulaÅŁ', 'mÄ±ÅŁlar']",1.238430675
6,Marangoz ustaları çoktan  yeni semtteki atölyeye ulaşmışlar.,nom,targetMatch,1.247740388,0.018363377,"['Mar', 'angoz']",['ĠustalarÄ±'],"['ĠulaÅŁ', 'mÄ±ÅŁlar']",1.229377011
6,Marangozlar ustası çoktan  yeni semtteki atölyeye ulaşmışlar.,nom,attractorMatch,1.268917561,0.020704011,"['Mar', 'angoz', 'lar']",['ĠustasÄ±'],"['ĠulaÅŁ', 'mÄ±ÅŁlar']",1.24821355
6,Marangoz ustası çoktan  yeni semtteki atölyeye ulaşmışlar.,nom,noMatch,1.301752448,0.013086938,"['Mar', 'angoz']",['ĠustasÄ±'],"['ĠulaÅŁ', 'mÄ±ÅŁlar']",1.28866551
7,Bakanın sekreterleri utanç içinde koridordaki kapıya yöneldiler.,gen,targetMatch,1.262687087,0.101245962,"['Bak', 'anÄ±n']","['Ġsekret', 'erleri']","['ĠyÃ¶nel', 'diler']",1.161441125
7,Bakanların sekreteri utanç içinde koridordaki kapıya yöneldiler.,gen,attractorMatch,1.224636793,0.131600946,"['Bak', 'anlarÄ±n']","['Ġsekret', 'eri']","['ĠyÃ¶nel', 'diler']",1.093035847
7,Bakanın sekreteri utanç içinde koridordaki kapıya yöneldiler.,gen,noMatch,1.271113753,0.107268035,"['Bak', 'anÄ±n']","['Ġsekret', 'eri']","['ĠyÃ¶nel', 'diler']",1.163845718
7,Bakan sekreterleri utanç içinde koridordaki kapıya yöneldiler.,nom,targetMatch,1.307421088,0.059921607,['Bakan'],"['Ġsekret', 'erleri']","['ĠyÃ¶nel', 'diler']",1.247499481
7,Bakanlar sekreteri utanç içinde koridordaki kapıya yöneldiler.,nom,attractorMatch,1.297309399,0.071611129,"['Bak', 'anlar']","['Ġsekret', 'eri']","['ĠyÃ¶nel', 'diler']",1.22569827
7,Bakan sekreteri utanç içinde koridordaki kapıya yöneldiler.,nom,noMatch,1.315223694,0.047192756,['Bakan'],"['Ġsekret', 'eri']","['ĠyÃ¶nel', 'diler']",1.268030938
8,Oyuncunun koçları ertesi gün provaya geç geldiler.,gen,targetMatch,0.625717163,0.035098143,"['Oy', 'unc', 'unun']","['ĠkoÃ§', 'larÄ±']",['Ġgeldiler'],0.59061902
8,Oyuncuların koçu ertesi gün provaya geç geldiler.,gen,attractorMatch,0.657984853,0.043140784,"['Oyuncu', 'larÄ±n']",['ĠkoÃ§u'],['Ġgeldiler'],0.614844069
8,Oyuncunun koçu ertesi gün provaya geç geldiler.,gen,noMatch,0.638889551,0.03055189,"['Oy', 'unc', 'unun']",['ĠkoÃ§u'],['Ġgeldiler'],0.608337661
8,Oyuncu koçları ertesi gün provaya geç geldiler.,nom,targetMatch,0.641861677,0.044407334,['Oyuncu'],"['ĠkoÃ§', 'larÄ±']",['Ġgeldiler'],0.597454343
8,Oyuncular koçu ertesi gün provaya geç geldiler.,nom,attractorMatch,0.673367381,0.022323413,['Oyuncular'],['ĠkoÃ§u'],['Ġgeldiler'],0.651043968
8,Oyuncu koçu ertesi gün provaya geç geldiler.,nom,noMatch,0.677782774,0.027441865,['Oyuncu'],['ĠkoÃ§u'],['Ġgeldiler'],0.650340909
9,Yatırımcının danışmanları dönem sonundaki toplantıdan öfkeyle çıktılar.,gen,targetMatch,0.702399194,0.007556354,"['YatÄ±rÄ±m', 'cÄ±nÄ±n']",['ĠdanÄ±ÅŁmanlarÄ±'],['ĠÃ§Ä±ktÄ±lar'],0.694842841
9,Yatırımcıların danışmanı dönem sonundaki toplantıdan öfkeyle çıktılar.,gen,attractorMatch,0.639275193,0.015734555,"['YatÄ±rÄ±m', 'cÄ±larÄ±n']",['ĠdanÄ±ÅŁmanÄ±'],['ĠÃ§Ä±ktÄ±lar'],0.623540638
9,Yatırımcının danışmanı dönem sonundaki toplantıdan öfkeyle çıktılar.,gen,noMatch,0.654381692,0.010894925,"['YatÄ±rÄ±m', 'cÄ±nÄ±n']",['ĠdanÄ±ÅŁmanÄ±'],['ĠÃ§Ä±ktÄ±lar'],0.643486767
9,Yatırımcı danışmanları dönem sonundaki toplantıdan öfkeyle çıktılar.,nom,targetMatch,0.710695088,0.008054193,"['YatÄ±rÄ±m', 'cÄ±']",['ĠdanÄ±ÅŁmanlarÄ±'],['ĠÃ§Ä±ktÄ±lar'],0.702640895
9,Yatırımcılar danışmanı dönem sonundaki toplantıdan öfkeyle çıktılar.,nom,attractorMatch,0.688832283,0.010115801,"['YatÄ±rÄ±m', 'cÄ±lar']",['ĠdanÄ±ÅŁmanÄ±'],['ĠÃ§Ä±ktÄ±lar'],0.678716482
9,Yatırımcı danışmanı dönem sonundaki toplantıdan öfkeyle çıktılar.,nom,noMatch,0.673805833,0.007636037,"['YatÄ±rÄ±m', 'cÄ±']",['ĠdanÄ±ÅŁmanÄ±'],['ĠÃ§Ä±ktÄ±lar'],0.666169796
10,Mültecinin dostları savaşın ardından yardım çağrısına koştular.,gen,targetMatch,1.445410967,0.009886974,"['M', 'Ã¼lt', 'ecinin']",['ĠdostlarÄ±'],"['ĠkoÅŁtu', 'lar']",1.435523992
10,Mültecilerin dostu savaşın ardından yardım çağrısına koştular.,gen,attractorMatch,1.347316504,0.016895879,"['M', 'Ã¼lt', 'ecilerin']",['Ġdostu'],"['ĠkoÅŁtu', 'lar']",1.330420624
10,Mültecinin dostu savaşın ardından yardım çağrısına koştular.,gen,noMatch,1.364799738,0.015462106,"['M', 'Ã¼lt', 'ecinin']",['Ġdostu'],"['ĠkoÅŁtu', 'lar']",1.349337632
10,Mülteci dostları savaşın ardından yardım çağrısına koştular.,nom,targetMatch,1.39433217,0.019168086,"['M', 'Ã¼lt', 'eci']",['ĠdostlarÄ±'],"['ĠkoÅŁtu', 'lar']",1.375164084
10,Mülteciler dostu savaşın ardından yardım çağrısına koştular.,nom,attractorMatch,1.365040183,0.022030234,"['M', 'Ã¼lt', 'eciler']",['Ġdostu'],"['ĠkoÅŁtu', 'lar']",1.343009949
10,Mülteci dostu savaşın ardından yardım çağrısına koştular.,nom,noMatch,1.32244885,0.023682531,"['M', 'Ã¼lt', 'eci']",['Ġdostu'],"['ĠkoÅŁtu', 'lar']",1.298766319
11,Sendikacının vekilleri görüşme salonundan hızlı hızlı uzaklaştılar.,gen,targetMatch,1.245757937,0.036652356,"['Sen', 'dik', 'acÄ±nÄ±n']","['Ġvekil', 'leri']","['ĠuzaklaÅŁ', 'tÄ±lar']",1.209105581
11,Sendikacıların vekili görüşme salonundan hızlı hızlı uzaklaştılar.,gen,attractorMatch,1.178499699,0.039713249,"['Sen', 'dik', 'acÄ±larÄ±n']",['Ġvekili'],"['ĠuzaklaÅŁ', 'tÄ±lar']",1.13878645
11,Sendikacının vekili görüşme salonundan hızlı hızlı uzaklaştılar.,gen,noMatch,1.202192068,0.024900734,"['Sen', 'dik', 'acÄ±nÄ±n']",['Ġvekili'],"['ĠuzaklaÅŁ', 'tÄ±lar']",1.177291334
11,Sendikacı vekilleri görüşme salonundan hızlı hızlı uzaklaştılar.,nom,targetMatch,1.226798534,0.045655288,"['Sen', 'dik', 'acÄ±']","['Ġvekil', 'leri']","['ĠuzaklaÅŁ', 'tÄ±lar']",1.181143247
11,Sendikacılar vekili görüşme salonundan hızlı hızlı uzaklaştılar.,nom,attractorMatch,1.194438696,0.028399363,"['Sen', 'dik', 'acÄ±lar']",['Ġvekili'],"['ĠuzaklaÅŁ', 'tÄ±lar']",1.166039333
11,Sendikacı vekili görüşme salonundan hızlı hızlı uzaklaştılar.,nom,noMatch,1.212314606,0.023356773,"['Sen', 'dik', 'acÄ±']",['Ġvekili'],"['ĠuzaklaÅŁ', 'tÄ±lar']",1.188957833
12,Memurun düşmanları kavganın ortasında aniden habersizce kaçtılar.,gen,targetMatch,1.056171298,0.013256472,"['Mem', 'urun']",['ĠdÃ¼ÅŁmanlarÄ±'],"['ĠkaÃ§', 'tÄ±lar']",1.042914826
12,Memurların düşmanı kavganın ortasında aniden habersizce kaçtılar.,gen,attractorMatch,0.978952646,0.021291077,"['Memur', 'larÄ±n']",['ĠdÃ¼ÅŁmanÄ±'],"['ĠkaÃ§', 'tÄ±lar']",0.957661569
12,Memurun düşmanı kavganın ortasında aniden habersizce kaçtılar.,gen,noMatch,0.952771544,0.020173984,"['Mem', 'urun']",['ĠdÃ¼ÅŁmanÄ±'],"['ĠkaÃ§', 'tÄ±lar']",0.932597561
12,Memur düşmanları kavganın ortasında aniden habersizce kaçtılar.,nom,targetMatch,1.047735929,0.01198452,['Memur'],['ĠdÃ¼ÅŁmanlarÄ±'],"['ĠkaÃ§', 'tÄ±lar']",1.03575141
