case,position,match,eta,p_yes,accuracy_percent
gen,subject,noMatch,-1.0629062404490774,0.2567544602093735,25.675446020937347
gen,subject,targetMatch,1.0930915712164304,0.7489634374683181,74.8963437468318
gen,subject,attractorMatch,-0.7246698178976093,0.32636548726722814,32.636548726722815
gen,object,noMatch,-1.0629062404490774,0.2567544602093735,25.675446020937347
gen,object,targetMatch,1.0930915712164304,0.7489634374683181,74.8963437468318
gen,object,attractorMatch,-0.8599643869181965,0.29734678630240013,29.734678630240012
nom,subject,noMatch,-1.6789384562586565,0.15723608594629757,15.723608594629756
nom,subject,targetMatch,1.4096594356699188,0.8037122221419783,80.37122221419783
nom,subject,attractorMatch,-1.1149114097068247,0.24695638425123526,24.695638425123526
nom,object,noMatch,-1.6789384562586565,0.15723608594629757,15.723608594629756
nom,object,targetMatch,1.4096594356699188,0.8037122221419783,80.37122221419783
nom,object,attractorMatch,-1.3405222283275575,0.20742419142008212,20.742419142008213
