contrast,power,mean_estimate,mean_true,sd_true,bias,coverage,mean_ci_width,n_sims,n_participants
attraction_object_gen,0.38,0.21744195823035384,0.20624487815831816,0.41119949826182445,0.011197080072035674,0.957,0.7511867246838955,1000,80
attraction_object_gen_minus_subject_gen,0.134,-0.13072429506692068,-0.13911200369704824,0.28456162427160453,0.008387708630127534,0.949,0.7587996529135033,1000,80
attraction_subject_avg,0.713,0.46223468654755046,0.45726216083606874,0.3294319324595614,0.0049725257114816976,0.959,0.5894500461451899,1000,80
attraction_subject_gen,0.57,0.3481662532972745,0.3453568818553664,0.29911798458519273,0.0028093714419081396,0.948,0.6220290639341491,1000,80
attraction_subject_nom,0.694,0.5763031197978263,0.5691674398167711,0.415322297874072,0.007135679981055254,0.959,0.7759393375749372,1000,80
attraction_object_gen,0.462,0.2115503690056606,0.21276108266689175,0.4297786845921338,-0.001210713661231158,0.944,0.6542011995416745,1000,120
attraction_object_gen_minus_subject_gen,0.192,-0.13580480852284968,-0.1344833467682991,0.29333562871753466,-0.0013214617545505769,0.943,0.692125798826734,1000,120
attraction_subject_avg,0.744,0.46114558107799286,0.45832993786001686,0.3400685696390503,0.002815643217976018,0.95,0.5126301855445399,1000,120
attraction_subject_gen,0.602,0.34735517752851025,0.34724442943519085,0.302715504129157,1.1074809331941923e-4,0.943,0.5541356409621364,1000,120
attraction_subject_nom,0.715,0.5749359846274755,0.5694154462848429,0.4301888498311854,0.005520538342632618,0.957,0.6817105224636107,1000,120
attraction_object_gen,0.538,0.2104034705481449,0.21169564805417582,0.43131285752342896,-0.0012921775060309357,0.947,0.5944464771170469,1000,160
attraction_object_gen_minus_subject_gen,0.282,-0.1335922866401692,-0.12799915919246435,0.3100449640692099,-0.005593127447704876,0.945,0.6466522303963926,1000,160
attraction_subject_avg,0.769,0.4547499867200587,0.450162053637093,0.3390935877989068,0.004587933082965712,0.958,0.46325846705762247,1000,160
attraction_subject_gen,0.646,0.3439957571883141,0.33969480724664014,0.3000569288613674,0.004300949941673938,0.958,0.509063716386113,1000,160
attraction_subject_nom,0.737,0.5655042162518032,0.5606293000275457,0.4327251225670179,0.004874916224257484,0.961,0.6206898445602275,1000,160
attraction_object_gen,0.543,0.21175296558228746,0.20950554645610997,0.4128690332242224,0.002247419126177464,0.964,0.5476930253557294,1000,200
attraction_object_gen_minus_subject_gen,0.292,-0.1346311402434129,-0.13470538524759076,0.28868900859502616,7.424500417786333e-5,0.963,0.6094129523703683,1000,200
attraction_subject_avg,0.8,0.4599544926420473,0.45885371193902785,0.3386526320741133,0.0011007807030194564,0.951,0.42544467038091754,1000,200
attraction_subject_gen,0.683,0.34638410582570034,0.34421093170370076,0.2954478138233599,0.002173174121999599,0.946,0.474274330864063,1000,200
attraction_subject_nom,0.769,0.5735248794583943,0.5734964921743549,0.4354062809236323,2.838728403931434e-5,0.95,0.5733805837319657,1000,200
